# BUSCO version is: 5.1.3 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of genomes: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
14793at4751	Complete	k141_17032	21503	33304	-	409.6	786	https://www.orthodb.org/v10?query=14793at4751	Nucleoporin Pom152
14986at4751	Complete	k141_47159	106686	110672	-	805.6	676	https://www.orthodb.org/v10?query=14986at4751	DNA-directed RNA polymerase
17174at4751	Complete	k141_27641	158625	161792	-	804.0	581	https://www.orthodb.org/v10?query=17174at4751	DNA polymerase gamma
18809at4751	Complete	k141_28028	30006	32540	+	193.7	525	https://www.orthodb.org/v10?query=18809at4751	RIC1-domain-containing protein
20600at4751	Complete	k141_28024	21858	24818	+	1177.7	771	https://www.orthodb.org/v10?query=20600at4751	glycine dehydrogenase
20952at4751	Complete	k141_11486	12743	19632	-	1095.6	948	https://www.orthodb.org/v10?query=20952at4751	multidrug efflux transporter AcrB transmembrane domain-containing protein
21651at4751	Complete	k141_34611	35815	39546	+	879.9	685	https://www.orthodb.org/v10?query=21651at4751	DNA topoisomerase 2
21689at4751	Complete	k141_52721	70789	73593	-	658.6	673	https://www.orthodb.org/v10?query=21689at4751	WD40 repeat
22982at4751	Complete	k141_26453	139405	142629	+	1250.1	833	https://www.orthodb.org/v10?query=22982at4751	isoleucine-tRNA ligase
22992at4751	Complete	k141_47538	88346	90757	-	82.8	351	https://www.orthodb.org/v10?query=22992at4751	WD40/YVTN repeat-like-containing domain superfamily
23198at4751	Complete	k141_16069	567278	571786	-	1604.2	1116	https://www.orthodb.org/v10?query=23198at4751	Glycogen debranching enzyme
23856at4751	Complete	k141_5330	130576	134862	-	734.6	1028	https://www.orthodb.org/v10?query=23856at4751	Transcription elongation factor Spt6
24198at4751	Complete	k141_20094	163296	167075	+	551.1	831	https://www.orthodb.org/v10?query=24198at4751	Armadillo-type fold
25020at4751	Complete	k141_29249	38727	42086	-	857.1	902	https://www.orthodb.org/v10?query=25020at4751	Condensin complex subunit 1
25161at4751	Complete	k141_10230	94775	97807	-	255.5	608	https://www.orthodb.org/v10?query=25161at4751	Tetratricopeptide repeat
26329at4751	Duplicated	k141_20673	8797	12381	-	515.6	805	https://www.orthodb.org/v10?query=26329at4751	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
26329at4751	Duplicated	k141_27641	124739	128032	+	557.0	861	https://www.orthodb.org/v10?query=26329at4751	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
27008at4751	Complete	k141_26453	23523	26785	+	440.7	601	https://www.orthodb.org/v10?query=27008at4751	PAN2-PAN3 deadenylation complex catalytic subunit PAN2
29512at4751	Complete	k141_17245	250342	253236	-	548.1	624	https://www.orthodb.org/v10?query=29512at4751	Importin alpha re-exporter
31256at4751	Complete	k141_15687	17877	20966	+	230.8	542	https://www.orthodb.org/v10?query=31256at4751	Armadillo-type fold
31324at4751	Complete	k141_51081	42474	46079	+	619.9	752	https://www.orthodb.org/v10?query=31324at4751	Nrap protein
32164at4751	Complete	k141_19461	96541	99165	-	732.6	668	https://www.orthodb.org/v10?query=32164at4751	Importin beta-1 subunit
33984at4751	Complete	k141_52721	73892	76747	+	863.0	683	https://www.orthodb.org/v10?query=33984at4751	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase
34223at4751	Complete	k141_10090	199568	202951	-	282.3	716	https://www.orthodb.org/v10?query=34223at4751	Nucleoporin, Nup133/Nup155-like, C-terminal
34706at4751	Complete	k141_31279	230367	233381	+	462.2	734	https://www.orthodb.org/v10?query=34706at4751	MIF4G-like domain superfamily
34830at4751	Complete	k141_21099	58073	62077	+	923.3	899	https://www.orthodb.org/v10?query=34830at4751	Elongator complex protein 1
36610at4751	Complete	k141_17245	38073	40904	-	292.0	519	https://www.orthodb.org/v10?query=36610at4751	Tubulin-specific chaperone D
37028at4751	Complete	k141_34611	24580	26883	+	857.9	606	https://www.orthodb.org/v10?query=37028at4751	Cobalamin-independent methionine synthase
37573at4751	Complete	k141_10090	278259	280781	+	895.2	512	https://www.orthodb.org/v10?query=37573at4751	Helicase, C-terminal
37642at4751	Complete	k141_16784	77222	79771	-	186.9	316	https://www.orthodb.org/v10?query=37642at4751	RNB-domain-containing protein
38031at4751	Complete	k141_14836	88578	91199	-	282.6	438	https://www.orthodb.org/v10?query=38031at4751	Cap binding protein
38184at4751	Complete	k141_20094	131436	134042	+	608.1	645	https://www.orthodb.org/v10?query=38184at4751	AP-3 complex subunit delta
39833at4751	Complete	k141_8523	45839	48385	+	411.2	599	https://www.orthodb.org/v10?query=39833at4751	WD40-repeat-containing domain
43842at4751	Complete	k141_13458	55772	58852	+	247.1	687	https://www.orthodb.org/v10?query=43842at4751	Armadillo-type fold
46090at4751	Complete	k141_11321	2918	5728	-	525.2	622	https://www.orthodb.org/v10?query=46090at4751	ARM repeat-containing protein
46098at4751	Complete	k141_43136	2329	5403	+	1029.3	757	https://www.orthodb.org/v10?query=46098at4751	P-loop containing nucleoside triphosphate hydrolase protein
46119at4751	Complete	k141_19461	57306	61085	+	742.5	1046	https://www.orthodb.org/v10?query=46119at4751	WD40/YVTN repeat-like-containing domain superfamily
46666at4751	Missing
46752at4751	Complete	k141_6907	154585	157524	+	804.6	763	https://www.orthodb.org/v10?query=46752at4751	GPI ethanolamine phosphate transferase 3
46918at4751	Missing
47592at4751	Complete	k141_45424	38389	40875	-	641.1	685	https://www.orthodb.org/v10?query=47592at4751	Eukaryotic translation initiation factor 3 subunit C
48708at4751	Complete	k141_40684	51297	54569	-	1182.5	844	https://www.orthodb.org/v10?query=48708at4751	Leucyl-tRNA synthetase
49476at4751	Complete	k141_27641	82695	85262	-	600.0	491	https://www.orthodb.org/v10?query=49476at4751	Dynamin, GTPase domain
49967at4751	Complete	k141_15102	17839	21356	-	665.5	600	https://www.orthodb.org/v10?query=49967at4751	Vacuole morphology and inheritance protein 14
50786at4751	Complete	k141_27641	193719	195863	-	521.1	508	https://www.orthodb.org/v10?query=50786at4751	Eukaryotic translation initiation factor 3 subunit B
50835at4751	Complete	k141_33231	43789	46587	-	954.4	660	https://www.orthodb.org/v10?query=50835at4751	Alanine--tRNA ligase
52541at4751	Complete	k141_41129	3615	5732	-	565.2	437	https://www.orthodb.org/v10?query=52541at4751	Pre-mRNA 3'-end-processing endonuclease polyadenylation factor C-term
52909at4751	Missing
53270at4751	Complete	k141_33231	50468	54550	-	779.3	772	https://www.orthodb.org/v10?query=53270at4751	UDP-glucose
54252at4751	Complete	k141_51081	8368	11232	-	821.8	820	https://www.orthodb.org/v10?query=54252at4751	26S proteasome regulatory subunit RPN2
54919at4751	Complete	k141_31899	54898	57162	-	472.8	443	https://www.orthodb.org/v10?query=54919at4751	Cysteinyl-tRNA synthetase
56395at4751	Missing
56432at4751	Complete	k141_3512	60179	62881	+	194.1	522	https://www.orthodb.org/v10?query=56432at4751	putative exocyst complex component sec8
56729at4751	Complete	k141_38966	4289	7138	-	933.8	780	https://www.orthodb.org/v10?query=56729at4751	Coatomer subunit beta
57081at4751	Missing
58127at4751	Missing
59795at4751	Complete	k141_52264	46846	49584	-	679.2	624	https://www.orthodb.org/v10?query=59795at4751	Coatomer subunit gamma
61411at4751	Missing
61438at4751	Complete	k141_5330	44084	46894	-	487.7	658	https://www.orthodb.org/v10?query=61438at4751	Pep3/Vps18/deep orange
61857at4751	Missing
62846at4751	Complete	k141_15102	13419	15659	-	377.1	415	https://www.orthodb.org/v10?query=62846at4751	Ribosome biogenesis protein tsr1
63635at4751	Complete	k141_47159	63215	65986	-	503.1	692	https://www.orthodb.org/v10?query=63635at4751	AP-2 complex subunit alpha
63838at4751	Missing
64002at4751	Complete	k141_17245	240773	243604	-	588.0	659	https://www.orthodb.org/v10?query=64002at4751	Transcription initiation factor TFIID subunit 1
64498at4751	Missing
65334at4751	Complete	k141_9984	32281	34335	+	610.7	507	https://www.orthodb.org/v10?query=65334at4751	WD40-repeat-containing domain
65499at4751	Complete	k141_26550	229159	231651	-	520.4	530	https://www.orthodb.org/v10?query=65499at4751	AP-1 complex subunit gamma
66151at4751	Complete	k141_52585	99968	102301	+	458.5	563	https://www.orthodb.org/v10?query=66151at4751	Tetratricopeptide repeat
67284at4751	Complete	k141_18481	8392	10974	-	217.9	542	https://www.orthodb.org/v10?query=67284at4751	WD40-repeat-containing domain
67399at4751	Missing
67806at4751	Missing
68466at4751	Complete	k141_33231	20591	23665	-	962.8	867	https://www.orthodb.org/v10?query=68466at4751	FACT complex subunit SPT16
68881at4751	Complete	k141_27641	86237	88609	+	191.8	426	https://www.orthodb.org/v10?query=68881at4751	WD40-repeat-containing domain
71039at4751	Complete	k141_875	3133	6255	+	1049.6	727	https://www.orthodb.org/v10?query=71039at4751	RNA cytidine acetyltransferase
71046at4751	Complete	k141_47538	95660	97918	+	727.4	648	https://www.orthodb.org/v10?query=71046at4751	Vacuolar protein sorting-associated protein 35
73383at4751	Complete	k141_29249	54242	56467	-	632.6	504	https://www.orthodb.org/v10?query=73383at4751	DNA topoisomerase I
73477at4751	Complete	k141_9984	29739	31461	+	615.9	397	https://www.orthodb.org/v10?query=73477at4751	Vacuolar protein 8
73771at4751	Complete	k141_16069	22841	25615	+	726.9	642	https://www.orthodb.org/v10?query=73771at4751	WD40-repeat-containing domain
75033at4751	Complete	k141_42321	109116	110720	+	339.7	442	https://www.orthodb.org/v10?query=75033at4751	RNA polymerase I-specific transcription initiation factor RRN3
75456at4751	Missing
75463at4751	Complete	k141_19461	19004	21229	-	727.4	625	https://www.orthodb.org/v10?query=75463at4751	Mitochondrial intermediate peptidase
75709at4751	Complete	k141_1173	491	4453	-	865.7	727	https://www.orthodb.org/v10?query=75709at4751	Lysophospholipase NTE1
75976at4751	Missing
76196at4751	Complete	k141_48014	2475	5027	-	574.4	351	https://www.orthodb.org/v10?query=76196at4751	Histidine biosynthesis trifunctional protein
76893at4751	Complete	k141_16784	18934	21183	-	808.7	528	https://www.orthodb.org/v10?query=76893at4751	ATPase, AAA-type, conserved site
76975at4751	Complete	k141_5330	47397	49997	-	209.2	492	https://www.orthodb.org/v10?query=76975at4751	Exocyst complex component Sec5
78289at4751	Complete	k141_38966	65971	67908	-	662.2	497	https://www.orthodb.org/v10?query=78289at4751	Fimbrin
78665at4751	Complete	k141_10090	288887	291112	-	273.9	458	https://www.orthodb.org/v10?query=78665at4751	Spindle pole body component
79262at4751	Complete	k141_42321	303244	305091	+	767.3	497	https://www.orthodb.org/v10?query=79262at4751	Electron transfer flavoprotein-ubiquinone oxidoreductase
79294at4751	Complete	k141_14836	104574	106340	+	747.6	444	https://www.orthodb.org/v10?query=79294at4751	Bifunctional purine biosynthesis protein ADE17
79797at4751	Complete	k141_47538	73752	75974	+	427.6	613	https://www.orthodb.org/v10?query=79797at4751	WD40-repeat-containing domain
79988at4751	Complete	k141_8111	30151	31812	-	102.5	258	https://www.orthodb.org/v10?query=79988at4751	Polynucleotide 5'-hydroxyl-kinase grc3
81295at4751	Complete	k141_52721	129858	133836	+	789.2	440	https://www.orthodb.org/v10?query=81295at4751	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain
81614at4751	Missing
81687at4751	Complete	k141_19461	7185	8876	-	789.2	480	https://www.orthodb.org/v10?query=81687at4751	asparagine synthase (glutamine-hydrolyzing)
84250at4751	Complete	k141_748	3639	7181	+	174.9	596	https://www.orthodb.org/v10?query=84250at4751	TRAPP II complex, TRAPPC10
84829at4751	Missing
85793at4751	Complete	k141_26550	53033	56032	+	337.1	758	https://www.orthodb.org/v10?query=85793at4751	cohesin complex subunit SA-1/2
86293at4751	Complete	k141_20094	104147	106012	+	417.7	341	https://www.orthodb.org/v10?query=86293at4751	Aldehyde dehydrogenase, glutamic acid active site
87251at4751	Complete	k141_27641	108974	112606	-	835.4	913	https://www.orthodb.org/v10?query=87251at4751	Ribosomal RNA-processing protein 12
87313at4751	Complete	k141_52721	41144	42799	+	866.1	439	https://www.orthodb.org/v10?query=87313at4751	Elongator complex protein 3
90022at4751	Complete	k141_38966	77937	80003	+	151.0	191	https://www.orthodb.org/v10?query=90022at4751	nucleotide-diphospho-sugar transferase
91135at4751	Complete	k141_875	12431	14623	+	234.5	414	https://www.orthodb.org/v10?query=91135at4751	Far11/STRP, C-terminal
92267at4751	Complete	k141_14836	112243	114080	-	730.0	511	https://www.orthodb.org/v10?query=92267at4751	Phenylalanyl-tRNA synthetase
93783at4751	Complete	k141_49925	99976	103723	+	253.7	483	https://www.orthodb.org/v10?query=93783at4751	ER membrane protein complex subunit 1
94384at4751	Complete	k141_42652	928	2772	+	385.0	420	https://www.orthodb.org/v10?query=94384at4751	DNA topoisomerase
94628at4751	Complete	k141_16069	416105	418696	+	844.7	538	https://www.orthodb.org/v10?query=94628at4751	DNA helicase
95253at4751	Complete	k141_52585	57111	59180	-	515.6	560	https://www.orthodb.org/v10?query=95253at4751	WD40-repeat-containing domain
96633at4751	Complete	k141_6907	134102	136381	+	471.4	606	https://www.orthodb.org/v10?query=96633at4751	Cleavage and polyadenylation specificity factor subunit 2
97141at4751	Complete	k141_38966	75149	77170	+	291.3	371	https://www.orthodb.org/v10?query=97141at4751	CDC45-like protein
98519at4751	Complete	k141_27641	186732	188915	+	162.3	323	https://www.orthodb.org/v10?query=98519at4751	Symplekin/Pta1
98733at4751	Complete	k141_42321	263814	266006	+	913.3	554	https://www.orthodb.org/v10?query=98733at4751	threonyl-tRNA synthetase
98739at4751	Complete	k141_36848	1489	3507	-	623.2	442	https://www.orthodb.org/v10?query=98739at4751	Homoaconitase, mitochondrial
100957at4751	Complete	k141_27641	90244	93264	+	434.0	711	https://www.orthodb.org/v10?query=100957at4751	ARM repeat-containing protein
101133at4751	Complete	k141_5330	83173	84843	+	485.4	383	https://www.orthodb.org/v10?query=101133at4751	Phosphoribosylaminoimidazole carboxylase
103183at4751	Complete	k141_13458	71859	74885	-	605.0	662	https://www.orthodb.org/v10?query=103183at4751	DNA repair protein
103461at4751	Missing
103836at4751	Complete	k141_28028	9083	10513	-	357.6	335	https://www.orthodb.org/v10?query=103836at4751	WD40-repeat-containing domain
104173at4751	Complete	k141_27641	129896	131893	+	430.6	489	https://www.orthodb.org/v10?query=104173at4751	Noc2-domain-containing protein
104415at4751	Complete	k141_13458	16562	18304	+	325.1	429	https://www.orthodb.org/v10?query=104415at4751	WD40-repeat-containing domain
105401at4751	Complete	k141_18481	244834	247717	-	1011.4	553	https://www.orthodb.org/v10?query=105401at4751	GroEL-like apical domain superfamily
106281at4751	Complete	k141_52585	119757	124273	+	601.1	1056	https://www.orthodb.org/v10?query=106281at4751	endosomal peripheral membrane protein
107136at4751	Complete	k141_8111	133918	136644	-	685.5	545	https://www.orthodb.org/v10?query=107136at4751	glycoside hydrolase family 31 protein
107464at4751	Complete	k141_9984	36281	37906	+	606.6	400	https://www.orthodb.org/v10?query=107464at4751	Glucose-6-phosphate isomerase
109276at4751	Complete	k141_16784	29765	32911	+	398.1	434	https://www.orthodb.org/v10?query=109276at4751	CCAAT-box-binding transcription factor
111022at4751	Missing
111189at4751	Complete	k141_18481	70580	73393	-	671.2	580	https://www.orthodb.org/v10?query=111189at4751	ATP-dependent RNA helicase DBP10
112646at4751	Complete	k141_875	157909	160005	+	101.4	300	https://www.orthodb.org/v10?query=112646at4751	oligomeric Golgi complex subunit 6
112937at4751	Complete	k141_875	121239	123425	-	476.1	465	https://www.orthodb.org/v10?query=112937at4751	P-loop containing nucleoside triphosphate hydrolase protein
115993at4751	Complete	k141_10230	14700	17051	+	657.1	456	https://www.orthodb.org/v10?query=115993at4751	Ribosome biogenesis protein ERB1
117017at4751	Complete	k141_44997	165059	167982	+	705.2	449	https://www.orthodb.org/v10?query=117017at4751	Methionyl-tRNA synthetase
118189at4751	Complete	k141_18481	12173	13822	+	610.9	508	https://www.orthodb.org/v10?query=118189at4751	WD40-repeat-containing domain
118701at4751	Complete	k141_42652	10451	13000	-	809.3	649	https://www.orthodb.org/v10?query=118701at4751	Phosphatidylinositol 3-kinase VPS34
119833at4751	Complete	k141_38966	23879	26254	+	397.4	549	https://www.orthodb.org/v10?query=119833at4751	Histone-lysine N-methyltransferase
122507at4751	Complete	k141_26550	94564	96921	+	428.9	640	https://www.orthodb.org/v10?query=122507at4751	WD40-repeat-containing domain
122824at4751	Complete	k141_666	13936	15549	+	180.6	253	https://www.orthodb.org/v10?query=122824at4751	WD40-repeat-containing domain
123228at4751	Complete	k141_18055	36799	40326	-	859.7	785	https://www.orthodb.org/v10?query=123228at4751	Ribosome biogenesis protein BMS1
123277at4751	Complete	k141_20094	78577	84139	-	951.1	1120	https://www.orthodb.org/v10?query=123277at4751	WD40-repeat-containing domain
123494at4751	Missing
125400at4751	Missing
125935at4751	Complete	k141_52721	58240	60327	-	482.7	382	https://www.orthodb.org/v10?query=125935at4751	tRNA-dihydrouridine(47) synthase 
126037at4751	Complete	k141_16069	267113	270106	+	435.6	464	https://www.orthodb.org/v10?query=126037at4751	SNF2-related, N-terminal domain
126249at4751	Complete	k141_31279	37991	40057	+	500.7	463	https://www.orthodb.org/v10?query=126249at4751	Multiple RNA-binding domain-containing protein 1
126256at4751	Complete	k141_42321	100371	102152	+	464.0	383	https://www.orthodb.org/v10?query=126256at4751	Non-specific serine/threonine protein kinase
126519at4751	Complete	k141_21099	159160	162139	-	602.7	426	https://www.orthodb.org/v10?query=126519at4751	Imidazole glycerol phosphate synthase hisHF
127140at4751	Missing
129160at4751	Complete	k141_42652	53817	55442	-	636.0	441	https://www.orthodb.org/v10?query=129160at4751	T-complex protein 1 subunit zeta
129326at4751	Complete	k141_44997	98992	101454	+	589.6	687	https://www.orthodb.org/v10?query=129326at4751	Putative nucleolar complex protein 14
129520at4751	Complete	k141_10230	23539	25233	-	614.7	475	https://www.orthodb.org/v10?query=129520at4751	Alpha-D-phosphohexomutase, alpha/beta/alpha domain I
130062at4751	Missing
130930at4751	Fragmented	k141_17033	1	2825	+	716.9	851	https://www.orthodb.org/v10?query=130930at4751	Nucleoporin Nup186/Nup192/Nup205
130976at4751	Complete	k141_47159	57438	59246	+	337.3	420	https://www.orthodb.org/v10?query=130976at4751	DNA polymerase alpha subunit B
133954at4751	Missing
135184at4751	Complete	k141_18481	248338	249993	+	269.6	264	https://www.orthodb.org/v10?query=135184at4751	Nitrogen permease regulator 2
135652at4751	Complete	k141_49925	87773	89410	-	541.8	384	https://www.orthodb.org/v10?query=135652at4751	Poly(A) polymerase
137963at4751	Complete	k141_47538	13779	15818	-	735.2	438	https://www.orthodb.org/v10?query=137963at4751	Prolyl-tRNA synthetase
138484at4751	Complete	k141_16069	516364	518142	-	206.5	318	https://www.orthodb.org/v10?query=138484at4751	DNA polymerase epsilon subunit
138695at4751	Missing
138697at4751	Missing
138833at4751	Complete	k141_20094	198198	200000	+	562.4	488	https://www.orthodb.org/v10?query=138833at4751	Protein phosphatase PP2A regulatory subunit A
141273at4751	Missing
142357at4751	Complete	k141_16069	472351	474363	+	598.8	542	https://www.orthodb.org/v10?query=142357at4751	Ribosomal protein S5 domain 2-type fold
142965at4751	Missing
143414at4751	Complete	k141_20094	97864	99867	-	284.6	443	https://www.orthodb.org/v10?query=143414at4751	Transcription factor 25
145178at4751	Missing
145378at4751	Complete	k141_19461	74857	76701	-	408.5	454	https://www.orthodb.org/v10?query=145378at4751	Eukaryotic translation initiation factor 2A
145524at4751	Complete	k141_42321	105661	107220	-	480.1	354	https://www.orthodb.org/v10?query=145524at4751	Nuclear elongation and deformation protein 1
147028at4751	Complete	k141_13458	13542	15038	-	336.0	311	https://www.orthodb.org/v10?query=147028at4751	WD40-repeat-containing domain
148293at4751	Missing
150469at4751	Complete	k141_38966	55948	57513	-	518.0	368	https://www.orthodb.org/v10?query=150469at4751	T-complex protein 1 subunit beta
153083at4751	Complete	k141_8111	140840	143071	+	454.6	608	https://www.orthodb.org/v10?query=153083at4751	Ubiquitin carboxyl-terminal hydrolase
154126at4751	Complete	k141_10090	294131	296051	-	490.6	385	https://www.orthodb.org/v10?query=154126at4751	Ubiquitin-like modifier-activating enzyme ATG7
156073at4751	Complete	k141_26453	131886	133679	+	101.5	207	https://www.orthodb.org/v10?query=156073at4751	Zinc finger, RING-type
160044at4751	Missing
160875at4751	Complete	k141_47538	123629	125329	+	360.4	497	https://www.orthodb.org/v10?query=160875at4751	RNA helicase
160940at4751	Complete	k141_26550	126796	127950	+	184.4	234	https://www.orthodb.org/v10?query=160940at4751	Phosphoserine aminotransferase
160995at4751	Complete	k141_16069	528168	529775	-	653.2	384	https://www.orthodb.org/v10?query=160995at4751	Eukaryotic translation initiation factor 2 subunit gamma
161113at4751	Complete	k141_52179	118460	119788	-	326.5	306	https://www.orthodb.org/v10?query=161113at4751	Peptidase M16, N-terminal
163318at4751	Complete	k141_17032	48073	50298	-	171.8	294	https://www.orthodb.org/v10?query=163318at4751	Tetratricopeptide-like helical domain superfamily
165243at4751	Missing
167290at4751	Missing
167374at4751	Missing
167498at4751	Complete	k141_31899	100398	101969	-	600.5	408	https://www.orthodb.org/v10?query=167498at4751	Signal recognition particle 54 kDa protein
168092at4751	Complete	k141_11486	2718	4460	+	497.3	391	https://www.orthodb.org/v10?query=168092at4751	P-loop containing nucleoside triphosphate hydrolase protein
168489at4751	Complete	k141_10090	166021	168387	+	506.5	523	https://www.orthodb.org/v10?query=168489at4751	Vacuolar import/degradation, Vid27-related
169381at4751	Complete	k141_49925	52498	53808	-	313.0	243	https://www.orthodb.org/v10?query=169381at4751	WD40-repeat-containing domain
170297at4751	Complete	k141_3166	121907	123322	-	533.7	474	https://www.orthodb.org/v10?query=170297at4751	26S proteasome non-ATPase regulatory subunit 3
170401at4751	Complete	k141_41292	36558	40991	-	175.6	471	https://www.orthodb.org/v10?query=170401at4751	Zinc finger, RING/FYVE/PHD-type
170904at4751	Complete	k141_16069	247966	251154	+	549.5	974	https://www.orthodb.org/v10?query=170904at4751	P-loop containing nucleoside triphosphate hydrolase protein
171181at4751	Missing
171238at4751	Complete	k141_21459	53006	54235	+	432.6	317	https://www.orthodb.org/v10?query=171238at4751	Succinate--CoA ligase 
172113at4751	Complete	k141_875	118794	120101	+	531.6	314	https://www.orthodb.org/v10?query=172113at4751	Eukaryotic peptide chain release factor subunit 1
172363at4751	Complete	k141_21099	63005	69064	+	409.4	1435	https://www.orthodb.org/v10?query=172363at4751	Armadillo-type fold
172966at4751	Complete	k141_6907	42288	43877	+	520.9	375	https://www.orthodb.org/v10?query=172966at4751	polyubiquitin-tagged protein recognition complex, Npl4 component
173428at4751	Complete	k141_6907	63685	65430	+	478.2	465	https://www.orthodb.org/v10?query=173428at4751	Aminoacyl-tRNA synthetase, class II
173995at4751	Complete	k141_16784	74561	75553	-	313.1	265	https://www.orthodb.org/v10?query=173995at4751	Probable cytosolic iron-sulfur protein assembly protein 1
174653at4751	Complete	k141_21099	41090	42439	+	667.0	369	https://www.orthodb.org/v10?query=174653at4751	Adenosylhomocysteinase
174672at4751	Complete	k141_1173	34974	36260	+	215.9	261	https://www.orthodb.org/v10?query=174672at4751	tRNA guanosine-2'-O-methyltransferase
175136at4751	Complete	k141_875	22582	23856	-	293.0	287	https://www.orthodb.org/v10?query=175136at4751	WD40-repeat-containing domain
175599at4751	Missing
176178at4751	Complete	k141_16672	14943	16187	+	391.7	320	https://www.orthodb.org/v10?query=176178at4751	putative 26S proteasome regulatory subunit rpn6
176478at4751	Complete	k141_17245	196864	198417	-	347.4	321	https://www.orthodb.org/v10?query=176478at4751	CBF-domain-containing protein
176648at4751	Complete	k141_43136	9751	11067	+	283.7	281	https://www.orthodb.org/v10?query=176648at4751	chaperone DnaJ
176748at4751	Complete	k141_52697	6978	9008	+	297.8	369	https://www.orthodb.org/v10?query=176748at4751	WD40-repeat-containing domain
